T1	Sentence 0 74	INGREDIENTS For the pizza base: butter, ghee or coconut oil, for greasing;
T2	Sentence 75 132	140g cauliflower (about 1/4 of a head without the stalk);
T3	Sentence 133 153	1 egg white, beaten;
T4	Sentence 154 174	50g  ground almonds;
T5	Sentence 175 195	40g buckwheat flour;
T6	Sentence 196 213	1/2 tsp sea salt;
T7	Sentence 214 235	1/2 tsp black pepper;
T8	Sentence 236 306	1/4 tsp bicarbonate of soda For the topping: 1 medium mozzarella ball;
T9	Sentence 307 366	2 handfuls fresh tomatoes (a mixture of colours look good);
T10	Sentence 367 392	chilli flakes (optional);
T11	Sentence 393 413	handful fresh basil;
T12	Sentence 414 454	drizzle of olive oil, to serve METHOD 1.
T13	Sentence 455 500	Preheat the oven to 170C/190C fan/350F/Gas 4.
T14	Sentence 501 593	Line a baking tray with baking parchment... lightly grease with butter, ghee or coconut oil.
T15	Sentence 593 596	 2.
T16	Sentence 597 680	Grate the cauliflower into rice-sized pieces using a hand grater or food processor.
T17	Sentence 680 683	 3.
T18	Sentence 684 818	Put all the pizza base ingredients in a bowl... mix well with a spoon, or add to the food processor and blend, to form a sticky dough.
T19	Sentence 818 821	 4.
T20	Sentence 822 950	Using the back of a spoon, spread the dough out onto the greased parchment on the tray, shaping it into a circle 30cm/12in wide.
T21	Sentence 950 953	 5.
T22	Sentence 954 994	Bake in the oven for about five minutes;
T23	Sentence 995 1055	flip it over and return to the oven for another two minutes.
T24	Sentence 1055 1058	 6.
T25	Sentence 1059 1147	Pull the mozzarella ball apart into small pieces and arrange over the base of the pizza.
T26	Sentence 1147 1150	 7.
T27	Sentence 1151 1219	Slice the tomatoes into 1cm thick slices and arrange over the pizza;
T28	Sentence 1220 1254	add the chilli flakes, if desired.
T29	Sentence 1254 1257	 8.
T30	Sentence 1258 1340	Bake the pizza for 10-15 minutes more until the mozzarella is melted and bubbling.
T31	Sentence 1340 1343	 9.
T32	Sentence 1344 1431	Sprinkle the basil over the top of the pizza before serving and drizzle with olive oil.
T33	Sentence 1431 1435	 10.
T34	Sentence 1436 1455	Enjoy! Bon appetit!
